Link,Price_BYN,Price_USD,Model,City,Year,Type_transmission,Vol_drive,Type_fuel,Km,Type_car
https://cars.av.by/bmw/5-seriya/100488323,20575,7600,"BMW 5 серия E60, E61",Минск,2004,механика,2.2, бензин,303340,седан
https://cars.av.by/bmw/5-seriya/100720049,22876,8450,"BMW 5 серия E60, E61",Гродно,2003,механика,2.2, бензин,240000,седан
https://cars.av.by/bmw/5-seriya/100345777,34381,12700,"BMW 5 серия E60, E61",Гомель,2008,автомат,3.0, бензин,260000,седан
https://cars.av.by/bmw/5-seriya/100502831,25177,9300,"BMW 5 серия E60, E61",Осиповичи,2004,автомат,2.5, дизель,435000,седан
https://cars.av.by/bmw/5-seriya/101371945,21522,7950,"BMW 5 серия E60, E61",Минск,2005,механика,2.5, бензин,269000,седан
https://cars.av.by/bmw/5-seriya/101320137,22470,8300,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, бензин,320000,седан
https://cars.av.by/bmw/5-seriya/101217354,28426,10500,"BMW 5 серия E60, E61",Несвиж,2008,автомат,2.5, бензин,317194,седан
https://cars.av.by/bmw/5-seriya/100825307,28426,10500,"BMW 5 серия E60, E61",Светлогорск,2005,механика,2.5, дизель,350000,седан
https://cars.av.by/bmw/5-seriya/100895747,21387,7900,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, бензин,285000,седан
https://cars.av.by/bmw/5-seriya/100608408,28426,10500,"BMW 5 серия E60, E61",Речица,2004,автомат,3.0, дизель,290000,универсал
https://cars.av.by/bmw/5-seriya/101374775,21116,7800,"BMW 5 серия E60, E61",Брест,2004,автомат,2.5, бензин,351144,седан
https://cars.av.by/bmw/5-seriya/101016397,29576,10925,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,450000,седан
https://cars.av.by/bmw/5-seriya/100117382,39254,14500,"BMW 5 серия E60, E61",Мозырь,2008,автомат,3.0, дизель,319000,седан
https://cars.av.by/bmw/5-seriya/100739334,21658,8000,"BMW 5 серия E60, E61",Минск,2004,автомат,2.2, бензин,386000,седан
https://cars.av.by/bmw/5-seriya/101382535,27072,10000,"BMW 5 серия E60, E61",Сморгонь,2008,механика,2.0, дизель,250000,седан
https://cars.av.by/bmw/5-seriya/101318048,34381,12700,"BMW 5 серия E60, E61",Минск,2009,автомат,2.0, дизель,319925,седан
https://cars.av.by/bmw/5-seriya/100885041,25716,9499,"BMW 5 серия E60, E61",Брест,2007,автомат,3.0, бензин,250000,седан
https://cars.av.by/bmw/5-seriya/101381889,39254,14500,"BMW 5 серия E60, E61",Гомель,2005,автомат,3.5, дизель,220000,седан
https://cars.av.by/bmw/5-seriya/101243874,24362,8999,"BMW 5 серия E60, E61",Минск,2005,автомат,2.5, бензин,222000,седан
https://cars.av.by/bmw/5-seriya/101315832,24362,8999,"BMW 5 серия E60, E61",Гомель,2006,автомат,2.5, бензин,174000,седан
https://cars.av.by/bmw/5-seriya/101304113,25989,9600,"BMW 5 серия E60, E61",Минск,2005,автомат,2.5, дизель,335308,универсал
https://cars.av.by/bmw/5-seriya/100798181,23282,8600,"BMW 5 серия E60, E61",Гродно,2005,автомат,2.5, бензин,326000,седан
https://cars.av.by/bmw/5-seriya/100222234,25448,9400,"BMW 5 серия E60, E61",Брест,2007,автомат,3.0, бензин,381000,седан
https://cars.av.by/bmw/5-seriya/100374325,24094,8900,"BMW 5 серия E60, E61",Могилев,2006,механика,2.5, бензин,348000,седан
https://cars.av.by/bmw/5-seriya/100806479,31133,11500,"BMW 5 серия E60, E61",Минск,2007,автомат,3.0, бензин,280000,седан
https://cars.av.by/bmw/5-seriya/101128136,24362,8999,"BMW 5 серия E60, E61",Гродно,2003,механика,2.2, бензин,270000,седан
https://cars.av.by/bmw/5-seriya/101371751,31945,11800,"BMW 5 серия E60, E61",Минск,2004,механика,3.0, дизель,447000,седан
https://cars.av.by/bmw/5-seriya/100817632,17732,6550,"BMW 5 серия E60, E61",Молодечно,2005,автомат,2.2, бензин,311000,седан
https://cars.av.by/bmw/5-seriya/101368443,36141,13350,"BMW 5 серия E60, E61",Минск,2004,автомат,3.0, дизель,299504,седан
https://cars.av.by/bmw/5-seriya/100672862,23553,8700,"BMW 5 серия E60, E61",Брест,2004,автомат,2.2, бензин,305000,седан
https://cars.av.by/bmw/5-seriya/100840616,26801,9900,"BMW 5 серия E60, E61",Минск,2005,механика,2.5, дизель,300000,универсал
https://cars.av.by/bmw/5-seriya/20005273,39796,14700,"BMW 5 серия E60, E61",Минск,2006,механика,3.0, дизель,280000,седан
https://cars.av.by/bmw/5-seriya/101379374,29102,10750,"BMW 5 серия E60, E61",Гродно,2008,автомат,2.0, бензин,290000,универсал
https://cars.av.by/bmw/5-seriya/100342442,37901,14000,"BMW 5 серия E60, E61",Смолевичи,2009,автомат,3.0, дизель,280000,универсал
https://cars.av.by/bmw/5-seriya/101307637,22199,8200,"BMW 5 серия E60, E61",Минск,2006,автомат,2.5, бензин,350000,седан
https://cars.av.by/bmw/5-seriya/100912822,21658,8000,"BMW 5 серия E60, E61",Минск,2005,механика,2.5, бензин,318763,седан
https://cars.av.by/bmw/5-seriya/101377794,37359,13800,"BMW 5 серия E60, E61",Гомель,2009,автомат,2.0, дизель,174560,седан
https://cars.av.by/bmw/5-seriya/101376571,31133,11500,"BMW 5 серия E60, E61",Гродно,2007,механика,2.0, дизель,470000,седан
